Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
11-Sep-2015,0.534916,0.800202,0.00587973,0.000593874,0.0422055,0.0863126,0.190574,0.726649,1.09499,0.710154,,
10-Sep-2015,0.538824,0.796676,0.00592572,0.000597544,0.0423712,0.0868222,0.189193,0.728965,1.0959,0.712272,,
9-Sep-2015,0.539235,0.794245,0.00593006,0.000592661,0.0424997,0.0863307,0.189465,0.730265,1.09522,0.713031,,
8-Sep-2015,0.540034,0.795376,0.00596747,0.000592824,0.0424205,0.0862243,0.188124,0.72853,1.09537,0.712575,,
4-Sep-2015,0.537512,0.794629,0.00594831,0.000600741,0.0423522,0.0862184,0.187985,0.732184,1.08636,0.71344,,
3-Sep-2015,0.539243,0.799221,0.00590172,0.000604199,0.0423866,0.0861877,0.189068,0.733155,1.08762,0.711747,,
2-Sep-2015,0.533934,0.799914,0.00590936,0.000604559,0.0419442,0.0859987,0.18889,0.736573,1.08569,0.710719,,
1-Sep-2015,0.53896,0.798089,0.00587021,0.000600419,0.0421061,0.0853024,0.189397,0.73797,1.09052,0.710296,,
31-Aug-2015,0.538722,0.798903,0.00587749,0.000605587,0.0424451,0.0853668,0.188553,0.738648,,0.712352,,
28-Aug-2015,0.535217,0.800231,0.00586344,0.000599662,0.0423523,0.0856774,0.189417,0.739771,1.0929,0.71018,,
27-Aug-2015,0.537569,0.800521,0.00590208,0.000596711,0.0420122,0.0851391,0.189434,0.743559,1.09628,0.70943,,
26-Aug-2015,0.530207,0.804223,0.00590238,0.000590436,0.041232,0.0846375,0.190956,0.747098,1.10209,0.705335,,
25-Aug-2015,0.528803,0.808983,0.00588366,0.000586843,0.041393,0.086167,0.192035,0.746387,1.11033,0.703097,,
24-Aug-2015,0.532507,0.80893,0.00581969,0.000590269,0.0411523,0.0863409,0.190312,0.748591,1.10585,0.703601,,
21-Aug-2015,0.539163,0.799761,0.00574976,0.000598215,0.041907,0.0862327,0.190025,0.743597,1.11212,0.708945,,
20-Aug-2015,0.544501,0.796461,0.00574639,0.000600968,0.0426007,0.0862675,0.18912,0.739878,1.11453,0.712207,,
19-Aug-2015,,0.789667,0.00575254,0.000603708,,0.0861329,0.189621,0.734909,1.12074,0.715213,,
18-Aug-2015,0.546526,0.790208,0.00574105,0.00060436,0.0434814,0.08631,0.190131,0.730471,1.12201,0.714474,,
17-Aug-2015,0.545778,0.793071,0.00574339,0.000608481,0.0435676,0.0865939,0.189955,0.731223,1.11673,0.714478,,
14-Aug-2015,0.544758,0.79586,0.0057265,,0.0435319,0.0870978,0.189694,0.731602,1.11353,0.712434,,
13-Aug-2015,0.545883,0.793078,0.00574341,0.00059977,0.043653,0.0873964,0.189742,0.729145,1.11555,0.713906,,
12-Aug-2015,0.549924,0.795817,0.00569822,0.00060955,0.0437744,0.0876832,0.18871,0.73096,1.112,0.713417,,
11-Aug-2015,0.544634,0.791632,0.00573786,0.000614507,0.0438667,0.087151,0.188013,0.727211,1.11545,0.716085,,
10-Aug-2015,0.550576,0.78784,0.00577839,0.000617394,0.0444679,0.0872856,0.18795,0.729779,1.1121,0.718832,,
7-Aug-2015,0.5477,0.786321,0.00575921,0.000614162,0.0444611,0.0869729,0.187521,0.731047,1.11469,0.718692,,
